,Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date,close_year,close_quarter
442,Security Bank of North Metro,Woodstock,GA,57105,State Bank and Trust Company,2009-07-24,2016-01-06,2009,3
443,Security Bank of North Fulton,Alpharetta,GA,57430,State Bank and Trust Company,2009-07-24,2012-08-20,2009,3
444,Security Bank of Gwinnett County,Suwanee,GA,57346,State Bank and Trust Company,2009-07-24,2017-10-23,2009,3
445,Waterford Village Bank,Williamsville,NY,58065,"Evans Bank, N.A.",2009-07-24,2013-11-01,2009,3
446,Temecula Valley Bank,Temecula,CA,34341,First-Citizens Bank & Trust Company,2009-07-17,2016-10-20,2009,3
447,Vineyard Bank,Rancho Cucamonga,CA,23556,California Bank & Trust,2009-07-17,2012-08-20,2009,3
448,BankFirst,Sioux Falls,SD,34103,"Alerus Financial, N.A.",2009-07-17,2012-08-20,2009,3
449,First Piedmont Bank,Winder,GA,34594,First American Bank and Trust Company,2009-07-17,2016-08-08,2009,3
450,Bank of Wyoming,Thermopolis,WY,22754,Central Bank & Trust,2009-07-10,2012-08-20,2009,3
451,Founders Bank,Worth,IL,18390,The PrivateBank and Trust Company,2009-07-02,2012-08-20,2009,3
452,Millennium State Bank of Texas,Dallas,TX,57667,State Bank of Texas,2009-07-02,2012-10-26,2009,3
453,First National Bank of Danville,Danville,IL,3644,"First Financial Bank, N.A.",2009-07-02,2012-08-20,2009,3
454,Elizabeth State Bank,Elizabeth,IL,9262,Galena State Bank and Trust Company,2009-07-02,2012-08-20,2009,3
455,Rock River Bank,Oregon,IL,15302,The Harvard State Bank,2009-07-02,2012-08-20,2009,3
456,First State Bank of Winchester,Winchester,IL,11710,The First National Bank of Beardstown,2009-07-02,2012-08-20,2009,3
457,John Warner Bank,Clinton,IL,12093,State Bank of Lincoln,2009-07-02,2012-08-20,2009,3
458,Mirae Bank,Los Angeles,CA,57332,Wilshire State Bank,2009-06-26,2012-08-20,2009,2
459,MetroPacific Bank,Irvine,CA,57893,Sunwest Bank,2009-06-26,2015-02-05,2009,2
460,Horizon Bank,Pine City,MN,9744,"Stearns Bank, N.A.",2009-06-26,2015-02-05,2009,2
461,Neighborhood Community Bank,Newnan,GA,35285,CharterBank,2009-06-26,2015-12-07,2009,2
462,Community Bank of West Georgia,Villa Rica,GA,57436,No Acquirer,2009-06-26,2012-08-17,2009,2
